,X,Y,Type,Estimate
735,Q73__Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__14,Q64__Seed_source_Selfprepared__binary_nominal__3,LIN,0.13381456424260105
736,Q74__Practice_crop_rotation__binary_nominal__1,Q74__Practice_manuring__binary_nominal__2,LIN,-0.13373309917720552
737,Q89__Secondary_education__binary_nominal__3,Q7__name_of_village_keur_abdou_ndoye__binary_nominal__7,LIN,-0.13248135082832985
738,Q65__Variety_Imported__binary_nominal__1,Q82__Irrigation_surface_Irrigation_drip__binary_nominal__4,LIN,-0.132331286081299
739,Q82__Irrigation_drip__binary_nominal__1,Q86__Sex_male__binary__1,LIN,0.13140183404578729
740,Q6__Arrondissement_6__binary_nominal__3,Q72__Sold_VEG_Local_trader__binary_nominal__1,LIN,-0.13122638561668423
741,Q66__Seedlings_Bought_neighbor__binary_nominal__1,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.13080159634271762
742,Q74__Practice_manuring_Practice_crop_rotation__binary_nominal__3,Q0__Has_Education_Yes_No__binary__1,LIN,-0.13061969471023974
743,Q63__CROP_Vegetables_3__binary_nominal__2,Q7__name_of_village_notto__binary_nominal__15,LIN,0.13053493189113827
744,Q7__name_of_village_beer__binary_nominal__1,Q85__Group_3__binary_nominal__3,LIN,-0.13028913720930663
745,Q66__Seedlings_Selfprepared__binary_nominal__3,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,0.12997470930362182
746,Q72__Sold_VEG_Local_trader__binary_nominal__1,Q6__Arrondissement_99__binary_nominal__4,LIN,-0.12975830501267374
747,Q7__name_of_village_golom__binary_nominal__5,Q7__name_of_village_beer__binary_nominal__1,LIN,-0.12901871999630524
748,Q65__Variety_Imported__binary_nominal__1,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,0.1286263373607188
749,Q7__name_of_village_darou_sarr__binary_nominal__3,Q0__AGR_PROD__continuous,LIN,0.1279795676065929
750,Q63___CROP_Fruit_2_CROP_Vegetables_3__binary_nominal__1,Q7__name_of_village_notto__binary_nominal__15,LIN,-0.12797146010166668
751,Q65__Variety_Local__binary_nominal__2,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.1279391901723925
752,Q74__Practice_crop_rotation__binary_nominal__1,Q63__CROP_Vegetables_3__binary_nominal__2,LIN,-0.12724921745872414
753,Q7__name_of_village_diar__binary_nominal__4,Q7__name_of_village_beer__binary_nominal__1,LIN,-0.12626856549255894
754,Q0__Education_years__continuous,Q84__Years_using_drip_irrigation__continuous,LIN,0.12596441171178668
755,Q89__Secondary_education__binary_nominal__3,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,0.12457532587189339
756,Q82__Irrigation_surface_Irrigation_drip__binary_nominal__4,Q95__Dislike_not_knowing_future__ordinal,LIN,0.12442402218309144
757,Q82__irrigation_surface__binary_nominal__3,Q86__Sex_male__binary__1,LIN,-0.12370745695939633
758,Q82__Irrigation_surface_Irrigation_drip__binary_nominal__4,Q86__Sex_male__binary__1,LIN,0.12350233682803062
759,Q82__Irrigation_drip__binary_nominal__1,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.12331199223691809
760,Q65__Variety_Imported__binary_nominal__1,Q73__Machinery_pump_Machinery_sprayer_Machinery_daba_Machinery_hoe_sine__binary_nominal__15,LIN,-0.12323611454595224
761,Q73__Machinery_tractor_Machinery_sprayer_Machinery_daba__binary_nominal__26,Q0__Hope_total__continuous,LIN,0.12308397158178129
762,Q93__Trust_most_people__ordinal,Q1__Altitude__continuous,LIN,0.12293341674469319
763,Q7__name_of_village_darou_sarr__binary_nominal__3,Q72__Sold_VEG_Local_trader__binary_nominal__1,LIN,-0.12284070866059381
764,Q66__Seedlings_Bought_neighbor__binary_nominal__1,Q73__Machinery_sprayer_Machinery_daba__binary_nominal__17,LIN,0.1224117111675013
765,Q73__Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__14,Q7__name_of_village_beer__binary_nominal__1,LIN,-0.12187132765293394
766,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,Q92__Current_loan_amount_XOF__continuous,LIN,-0.12186352948756314
767,Q65__Variety_Imported__binary_nominal__1,Q66__Seedlings_No__binary_nominal__2,LIN,-0.12161151857136822
768,Q73__Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__14,Q85__Group_3__binary_nominal__3,LIN,-0.1210147935534374
769,Q66__Seedlings_Selfprepared__binary_nominal__3,Q74__Practice_crop_rotation__binary_nominal__1,LIN,-0.12067029793500318
770,Q65__Variety_Local__binary_nominal__2,Q64__Seed_source_Selfprepared__binary_nominal__3,LIN,0.12048671868576183
771,Q87__Household_size__continuous,Q95__Dislike_not_knowing_future__ordinal,LIN,0.11961854631869447
772,Q80__Plow_weather_self_reason_other__binary_nominal__3,Q74__Practice_crop_rotation__binary_nominal__1,LIN,-0.11957410963473411
773,Q73__Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__14,Q0__Has_Education_Yes_No__binary__1,LIN,-0.11918214849958622
774,Q73__Machinery_pump_Machinery_draft_animals_Machinery_sprayer_Machinery_daba_Machinery_hoe_sine__binary_nominal__12,Q7__name_of_village_golom__binary_nominal__5,LIN,0.11846507460622127
775,Q72__Sold_VEG_Trade_Sold_VEG_Local_trader__binary_nominal__4,Q6__Arrondissement_99__binary_nominal__4,LIN,0.11793588132625045
776,Q6__Arrondissement_6__binary_nominal__3,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.11781849465454845
777,Q67__Fertilizer_Manure__binary_nominal__2,Q73__Machinery_tractor_Machinery_sprayer_Machinery_daba__binary_nominal__26,LIN,0.11731433447462909
778,Q7__name_of_village_darou_sarr__binary_nominal__3,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.11711467500231468
779,Q72__Sold_VEG_Local_trader__binary_nominal__1,Q0__Hope_total__continuous,LIN,0.11679650033187076
780,Q73__Machinery_pump_Machinery_draft_animals_Machinery_sprayer_Machinery_daba__binary_nominal__22,Q7__name_of_village_beer__binary_nominal__1,LIN,-0.11655497476584953
781,Q64__Seed_source_Selfprepared_Bought_shop__binary_nominal__2,Q74__Practice_crop_rotation__binary_nominal__1,LIN,-0.11635823908074487
782,Q82__irrigation_surface__binary_nominal__3,Q95__Dislike_not_knowing_future__ordinal,LIN,0.11629682700200547
783,Q66__Seedlings_Selfprepared__binary_nominal__3,Q7__name_of_village_notto__binary_nominal__15,LIN,-0.11619918187728019
784,Q72__Sold_VEG_Trade_Sold_VEG_Local_trader__binary_nominal__4,Q63__CROP_Vegetables_3__binary_nominal__2,LIN,0.11602136356234471
785,Q85__Group_6__binary_nominal__6,Q7__name_of_village_beer__binary_nominal__1,LIN,-0.1160099843541982
786,Q89__Secondary_education__binary_nominal__3,Q86__Sex_male__binary__1,LIN,0.11594436150782297
787,Q74__Practice_crop_rotation__binary_nominal__1,Q63___CROP_Fruit_2_CROP_Vegetables_3__binary_nominal__1,LIN,0.11564056453174716
788,Q81__Sow_weather_self_Sow_reason_other__binary_nominal__3,Q74__Practice_crop_rotation__binary_nominal__1,LIN,-0.1151799232947331
789,Q88__Own_business_income_source__binary_nominal__2,Q4__HasPhoneNumber__binary__1,LIN,-0.11453462769466022
790,Q89__Primary_education__binary_nominal__2,Q63___CROP_Fruit_2_CROP_Vegetables_3__binary_nominal__1,LIN,0.11412980637634475
791,Q82__irrigation_surface__binary_nominal__3,Q89__Primary_education__binary_nominal__2,LIN,-0.11374785599806053
792,Q73__Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__14,Q7__name_of_village_ngay_ngay__binary_nominal__14,LIN,0.11319091643649058
793,Q81__Sow_weather_self__binary_nominal__2,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer__binary_nominal__23,LIN,0.11174082961956018
794,Q89__Secondary_education__binary_nominal__3,Q6__Arrondissement_3__binary_nominal__1,LIN,0.11142729171061268
795,Q80__Plow_weather_self__binary_nominal__2,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer__binary_nominal__23,LIN,0.1111405047645225
796,Q7__name_of_village_keur_saib_ndoi__binary_nominal__9,Q4__HasPhoneNumber__binary__1,LIN,-0.11080109803303732
797,Q6__Arrondissement_3__binary_nominal__1,Q4__HasPhoneNumber__binary__1,LIN,-0.11080109803303732
798,Q89__Primary_education__binary_nominal__2,Q6__Arrondissement_4__binary_nominal__2,LIN,-0.10996529783470642
799,Q89__Secondary_education__binary_nominal__3,Q93__Trust_most_people__ordinal,LIN,-0.10972006230364874
800,Q65__Variety_Imported__binary_nominal__1,Q95__Dislike_not_knowing_future__ordinal,LIN,0.10971343632769683
801,Q89__Secondary_education__binary_nominal__3,Q7__name_of_village_keur_saib_ndoi__binary_nominal__9,LIN,0.10955060510853089
802,Q64__Seed_source_Selfprepared__binary_nominal__3,Q66__Seedlings_No__binary_nominal__2,LIN,0.10918460196631939
803,Q73__Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__14,Q64__Seed_source_Selfprepared_Bought_neighbor__binary_nominal__1,LIN,0.10883134734732637
804,Q0__AGR_PROD__continuous,Q0__Education_years__continuous,LIN,-0.10846532913894055
805,Q72__Sold_VEG_Local_trader__binary_nominal__1,Q63___CROP_Fruit_2_CROP_Vegetables_3__binary_nominal__1,LIN,0.10806565233847525
806,Q7__name_of_village_touba_ndiaye__binary_nominal__18,Q86__Sex_male__binary__1,LIN,0.1079813532648683
807,Q6__Arrondissement_99__binary_nominal__4,Q88__Own_business_income_source__binary_nominal__2,LIN,-0.10605735944004872
808,Q73__Machinery_sprayer_Machinery_daba__binary_nominal__17,Q81__Sow_weather_self__binary_nominal__2,LIN,0.1059130568620574
809,Q7__name_of_village_notto__binary_nominal__15,Q93__Trust_most_people__ordinal,LIN,0.10583933673049926
810,Q6__Arrondissement_3__binary_nominal__1,Q0__Has_Education_Yes_No__binary__1,LIN,0.10582420320900036
811,Q7__name_of_village_keur_saib_ndoi__binary_nominal__9,Q0__Has_Education_Yes_No__binary__1,LIN,0.10582420320900036
812,Q80__Plow_weather_self_reason_other__binary_nominal__3,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer__binary_nominal__23,LIN,-0.10504162498666482
813,Q7__name_of_village_ngay_ngay__binary_nominal__14,Q64__Seed_source_Selfprepared__binary_nominal__3,LIN,0.10501843666450279
814,Q74__Practice_manuring_Practice_crop_rotation__binary_nominal__3,Q63___CROP_Fruit_2_CROP_Vegetables_3__binary_nominal__1,LIN,-0.10450079141281404
815,Q4__HasPhoneNumber__binary__1,Q85__Group_1__binary_nominal__1,LIN,0.10432443376098391
816,Q6__Arrondissement_6__binary_nominal__3,Q6__Arrondissement_3__binary_nominal__1,LIN,-0.10430274644537858
817,Q81__Sow_weather_self_Sow_reason_other__binary_nominal__3,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer__binary_nominal__23,LIN,-0.1042384993572082
818,Q88__Own_business_income_source__binary_nominal__2,Q85__Group_3__binary_nominal__3,LIN,-0.10423506718823077
